,Positives,Negatives,Polars,NonPolars
0,1,1,1,16
1,1,0,1,17
2,1,1,1,16
3,0,1,2,9
4,2,0,1,11
5,5,6,6,13
6,5,1,4,11
7,3,1,2,10
8,2,1,5,10
9,4,2,1,6
10,1,1,0,4
11,3,3,2,15
12,0,2,2,11
13,2,6,2,5
14,1,0,5,15
15,3,6,5,9
16,3,1,3,16
17,3,2,1,13
18,4,1,4,14
19,0,0,3,7
20,3,4,5,15
21,2,9,4,6
22,2,2,3,8
23,0,0,1,8
24,1,0,2,10
25,2,2,0,12
26,1,0,3,24
27,2,2,4,15
28,5,5,3,15
29,1,2,0,7
30,0,0,1,10
31,0,3,2,10
32,4,1,4,21
33,6,0,4,13
34,2,8,1,5
35,1,1,1,9
36,0,0,1,5
37,0,0,3,8
38,0,0,3,3
39,1,2,2,5
40,1,1,1,7
41,1,2,1,8
42,1,6,3,7
43,1,0,3,7
44,2,4,2,9
45,1,5,5,9
